study_id,type,name,label,url,filename,quality_flags
8,pdf,HH Questionnaire_Rwanda 2009 CFSVA & Nutrition Survey _English__FINAL.pdf,HH Questionnaire_Rwanda 2009 CFSVA & Nutrition Survey _English__FINAL.pdf,https://microdata.statistics.gov.rw/index.php/catalog/8/download/37,HH Questionnaire_Rwanda 2009 CFSVA & Nutrition Survey _English__FINAL.pdf,
8,pdf,CFSVA report 2009_1.pdf,CFSVA report 2009_1.pdf,https://microdata.statistics.gov.rw/index.php/catalog/8/download/36,CFSVA report 2009_1.pdf,
69,pdf,q-cfsvans-2012-community-eng.pdf,q-cfsvans-2012-community-eng.pdf,https://microdata.statistics.gov.rw/index.php/catalog/69/download/616,q-cfsvans-2012-community-eng.pdf,
69,pdf,q-cfsvans-2012-household-eng.pdf,q-cfsvans-2012-household-eng.pdf,https://microdata.statistics.gov.rw/index.php/catalog/69/download/617,q-cfsvans-2012-household-eng.pdf,
69,pdf,q-cfsvans-2012-woman-and-child-nutrition-eng.pdf,q-cfsvans-2012-woman-and-child-nutrition-eng.pdf,https://microdata.statistics.gov.rw/index.php/catalog/69/download/618,q-cfsvans-2012-woman-and-child-nutrition-eng.pdf,
69,pdf,cfsvans-2012-final-report-v01.pdf,cfsvans-2012-final-report-v01.pdf,https://microdata.statistics.gov.rw/index.php/catalog/69/download/619,cfsvans-2012-final-report-v01.pdf,
69,xls,cfsvans-2012-references.xls,cfsvans-2012-references.xls,https://microdata.statistics.gov.rw/index.php/catalog/69/download/620,cfsvans-2012-references.xls,
69,pdf,cfsvans-2012-detailed-methodology-eng.pdf,cfsvans-2012-detailed-methodology-eng.pdf,https://microdata.statistics.gov.rw/index.php/catalog/69/download/621,cfsvans-2012-detailed-methodology-eng.pdf,
69,pdf,cfsvans-2012-regression-analysis-eng.pdf,cfsvans-2012-regression-analysis-eng.pdf,https://microdata.statistics.gov.rw/index.php/catalog/69/download/622,cfsvans-2012-regression-analysis-eng.pdf,
69,pdf,cfsvans-2012-water-requirements-satissfaction-index-methodology-eng.pdf,cfsvans-2012-water-requirements-satissfaction-index-methodology-eng.pdf,https://microdata.statistics.gov.rw/index.php/catalog/69/download/623,cfsvans-2012-water-requirements-satissfaction-index-methodology-eng.pdf,
69,pdf,cfsvans-2012-eng-definitions-and- computation-of main- indicators.pdf,cfsvans-2012-eng-definitions-and- computation-of main- indicators.pdf,https://microdata.statistics.gov.rw/index.php/catalog/69/download/624,cfsvans-2012-eng-definitions-and- computation-of main- indicators.pdf,
11,pdf,Rwanda_DHS.pdf,Rwanda_DHS.pdf,https://microdata.statistics.gov.rw/index.php/catalog/11/download/48,Rwanda_DHS.pdf,
11,pdf,DHS_Key Findings_2000.pdf,DHS_Key Findings_2000.pdf,https://microdata.statistics.gov.rw/index.php/catalog/11/download/49,DHS_Key Findings_2000.pdf,
11,pdf,DHS2000_HIV.pdf,DHS2000_HIV.pdf,https://microdata.statistics.gov.rw/index.php/catalog/11/download/50,DHS2000_HIV.pdf,
11,pdf,DHS_Nutrition.pdf,DHS_Nutrition.pdf,https://microdata.statistics.gov.rw/index.php/catalog/11/download/51,DHS_Nutrition.pdf,
68,pdf,q-rdhs5-2014-2015-household-eng.pdf,q-rdhs5-2014-2015-household-eng.pdf,https://microdata.statistics.gov.rw/index.php/catalog/68/download/587,q-rdhs5-2014-2015-household-eng.pdf,
68,pdf,q-rdhs5-2014-2015-household-kin.pdf,q-rdhs5-2014-2015-household-kin.pdf,https://microdata.statistics.gov.rw/index.php/catalog/68/download/588,q-rdhs5-2014-2015-household-kin.pdf,
68,pdf,q-rdhs5-2014-2015-man-eng.pdf,q-rdhs5-2014-2015-man-eng.pdf,https://microdata.statistics.gov.rw/index.php/catalog/68/download/589,q-rdhs5-2014-2015-man-eng.pdf,
68,pdf,q-rdhs5-2014-2015-man-kin.pdf,q-rdhs5-2014-2015-man-kin.pdf,https://microdata.statistics.gov.rw/index.php/catalog/68/download/590,q-rdhs5-2014-2015-man-kin.pdf,
68,pdf,q-rdhs5-2014-2015-woman-eng.pdf,q-rdhs5-2014-2015-woman-eng.pdf,https://microdata.statistics.gov.rw/index.php/catalog/68/download/591,q-rdhs5-2014-2015-woman-eng.pdf,
68,pdf,q-rdhs5-2014-2015-woman-kin.pdf,q-rdhs5-2014-2015-woman-kin.pdf,https://microdata.statistics.gov.rw/index.php/catalog/68/download/592,q-rdhs5-2014-2015-woman-kin.pdf,
68,pdf,rdhs-v-final-report.pdf,rdhs-v-final-report.pdf,https://microdata.statistics.gov.rw/index.php/catalog/68/download/603,rdhs-v-final-report.pdf,
68,pdf,rdhs-v-key-findings.pdf,rdhs-v-key-findings.pdf,https://microdata.statistics.gov.rw/index.php/catalog/68/download/604,rdhs-v-key-findings.pdf,
68,file,rdhs-v-key-findings-presentation-part-one.ppt,rdhs-v-key-findings-presentation-part-one.ppt,https://microdata.statistics.gov.rw/index.php/catalog/68/download/605,rdhs-v-key-findings-presentation-part-one.ppt,generic_resource_type
68,file,Rrdhs-v-key-findings-presentation-part-two.ppt,Rrdhs-v-key-findings-presentation-part-two.ppt,https://microdata.statistics.gov.rw/index.php/catalog/68/download/606,Rrdhs-v-key-findings-presentation-part-two.ppt,generic_resource_type
68,pdf,rdhs5-2014-2015-flyer.pdf,rdhs5-2014-2015-flyer.pdf,https://microdata.statistics.gov.rw/index.php/catalog/68/download/586,rdhs5-2014-2015-flyer.pdf,
68,pdf,rdhs5-2014-2015-households-listing-manual-eng.pdf,rdhs5-2014-2015-households-listing-manual-eng.pdf,https://microdata.statistics.gov.rw/index.php/catalog/68/download/593,rdhs5-2014-2015-households-listing-manual-eng.pdf,
68,pdf,rdhs5-2014-2015-interviewer-manual-eng.pdf,rdhs5-2014-2015-interviewer-manual-eng.pdf,https://microdata.statistics.gov.rw/index.php/catalog/68/download/594,rdhs5-2014-2015-interviewer-manual-eng.pdf,
68,pdf,rdhs5-2014-2015-interviewer-manual-fr.pdf,rdhs5-2014-2015-interviewer-manual-fr.pdf,https://microdata.statistics.gov.rw/index.php/catalog/68/download/595,rdhs5-2014-2015-interviewer-manual-fr.pdf,
68,pdf,rdhs5-2014-2015-supervisor-editor-manual.pdf,rdhs5-2014-2015-supervisor-editor-manual.pdf,https://microdata.statistics.gov.rw/index.php/catalog/68/download/596,rdhs5-2014-2015-supervisor-editor-manual.pdf,
68,pdf,rdhs5-2014-2015-listing-form-eng.pdf,rdhs5-2014-2015-listing-form-eng.pdf,https://microdata.statistics.gov.rw/index.php/catalog/68/download/598,rdhs5-2014-2015-listing-form-eng.pdf,
68,pdf,rdhs5-2014-2015-sample-design-eng.pdf,rdhs5-2014-2015-sample-design-eng.pdf,https://microdata.statistics.gov.rw/index.php/catalog/68/download/601,rdhs5-2014-2015-sample-design-eng.pdf,
68,pdf,rdhs5-2014-2015-protocol-eng.pdf,rdhs5-2014-2015-protocol-eng.pdf,https://microdata.statistics.gov.rw/index.php/catalog/68/download/602,rdhs5-2014-2015-protocol-eng.pdf,
68,pdf,rdhs5-2014-2015-data-collection-supervision-report-form-eng.pdf,rdhs5-2014-2015-data-collection-supervision-report-form-eng.pdf,https://microdata.statistics.gov.rw/index.php/catalog/68/download/607,rdhs5-2014-2015-data-collection-supervision-report-form-eng.pdf,
14,pdf,Questionnaire_DHS 2005.pdf,Questionnaire_DHS 2005.pdf,https://microdata.statistics.gov.rw/index.php/catalog/14/download/56,Questionnaire_DHS 2005.pdf,
14,pdf,DHS_2005 Report.pdf,DHS_2005 Report.pdf,https://microdata.statistics.gov.rw/index.php/catalog/14/download/62,DHS_2005 Report.pdf,
14,pdf,Key Findings.pdf,Key Findings.pdf,https://microdata.statistics.gov.rw/index.php/catalog/14/download/63,Key Findings.pdf,
14,pdf,DHS6_Interviewer_Manual_22July2011.pdf,DHS6_Interviewer_Manual_22July2011.pdf,https://microdata.statistics.gov.rw/index.php/catalog/14/download/57,DHS6_Interviewer_Manual_22July2011.pdf,
14,pdf,DHS6_Supervisor_Editor_Manual_30Mar2011.pdf,DHS6_Supervisor_Editor_Manual_30Mar2011.pdf,https://microdata.statistics.gov.rw/index.php/catalog/14/download/58,DHS6_Supervisor_Editor_Manual_30Mar2011.pdf,
14,pdf,entry.pdf,entry.pdf,https://microdata.statistics.gov.rw/index.php/catalog/14/download/59,entry.pdf,
14,pdf,DHS_Training_Guidelines.pdf,DHS_Training_Guidelines.pdf,https://microdata.statistics.gov.rw/index.php/catalog/14/download/60,DHS_Training_Guidelines.pdf,
14,pdf,Data entry supervision.pdf,Data entry supervision.pdf,https://microdata.statistics.gov.rw/index.php/catalog/14/download/61,Data entry supervision.pdf,
4,pdf,2010 Rwanda Demographic and Health Survey Questionnaire.pdf,2010 Rwanda Demographic and Health Survey Questionnaire.pdf,https://microdata.statistics.gov.rw/index.php/catalog/4/download/11,2010 Rwanda Demographic and Health Survey Questionnaire.pdf,
4,pdf,2010 Rwanda Demographic and Health Survey Report.pdf,2010 Rwanda Demographic and Health Survey Report.pdf,https://microdata.statistics.gov.rw/index.php/catalog/4/download/15,2010 Rwanda Demographic and Health Survey Report.pdf,
4,pdf,2010 Rwanda Demographic and Health Survey Key Findings.pdf,2010 Rwanda Demographic and Health Survey Key Findings.pdf,https://microdata.statistics.gov.rw/index.php/catalog/4/download/16,2010 Rwanda Demographic and Health Survey Key Findings.pdf,
4,pdf,DHS_Training_Guidelines.pdf,DHS_Training_Guidelines.pdf,https://microdata.statistics.gov.rw/index.php/catalog/4/download/12,DHS_Training_Guidelines.pdf,
4,pdf,DHS6_Interviewer_Manual_22July2011.pdf,DHS6_Interviewer_Manual_22July2011.pdf,https://microdata.statistics.gov.rw/index.php/catalog/4/download/13,DHS6_Interviewer_Manual_22July2011.pdf,
4,pdf,DHS6_Supervisor_Editor_Manual_30Mar2011.pdf,DHS6_Supervisor_Editor_Manual_30Mar2011.pdf,https://microdata.statistics.gov.rw/index.php/catalog/4/download/14,DHS6_Supervisor_Editor_Manual_30Mar2011.pdf,
25,pdf,MICS Questionnaire.pdf,MICS Questionnaire.pdf,https://microdata.statistics.gov.rw/index.php/catalog/25/download/99,MICS Questionnaire.pdf,
