study_id,title,quality_flags,missing_field_count,resource_count,resource_quality_flags
oa_W2891125414,High-quality health systems in the Sustainable Development Goals era: time for a revolution,,0,1,
oa_W2923789281,Considering the benefits of hosting refugees: evidence of refugee camps influencing local labour market activity and economic welfare in Rwanda,,0,1,
oa_W4390476970,Assessing the Contributions of Rwanda Gender Equality Policies to the Women Empowerment in Rwanda,,0,1,
oa_W2187117880,Rural wage employment in Rwanda and Ethiopia: A review of the current policy neglect and a framework to begin addressing it,missing_url,1,0,
oa_W2513096430,Happiness and life satisfaction in Rwanda,,0,1,
oa_W1566291032,Global problems and the culture of capitalism,,0,0,
oa_W2211785744,"Assessment of the environment for the development of women's entrepreneurship in Cameroon, Mali, Nigeria, Rwanda and Senegal",missing_url,1,0,
oa_W2125151453,The care connection The World Bank and women's unpaid care work in select sub- Saharan African countries,,0,1,
oa_W2586097199,Has Child Marriage Declined in sub‐Saharan Africa? An Analysis of Trends in 31 Countries,,0,0,
oa_W4282916301,Do Cooperatives Improve Female Miners’ Outcomes? A Case Study of Rwanda,,0,0,
oa_W4307993352,Gender differentials of contraceptive knowledge and use among youth – evidence from demographic and health survey data in selected African countries,,0,1,
oa_W2217538606,The adolescent girls initiative in Rwanda : final evaluation report,missing_url,1,0,
oa_W1999217570,‘Control Grabbing’ and small-scale agricultural intensification: emerging patterns of state-facilitated ‘agricultural investment’ in Rwanda,,0,0,
oa_W3210739022,Adolescents in Humanitarian Crisis,,0,1,
oa_W2893740082,"THE DOWNSIDE OF BEING A FEMALE ENTREPRENEUR IN KIGALI, RWANDA",missing_url,1,0,
oa_W2015793800,Alternative agency: Rwandan refugee warriors in exclusionary states,,0,0,
oa_W4361216970,Analysis of Gender Inequality in the Labor Market and Its Adaptation to the Conditions of Kazakhstan,,0,1,
oa_W4385202034,Determinants of shock-coping mechanisms adoption and rural household consumption in Rwanda: A two-stage analysis considering both idiosyncratic and covariate shocks,,0,1,
oa_W2162087159,"Bridging the Gap: Identifying What is Holding Self-Employed Women Back in Ghana, Rwanda, Tanzania, the Republic of Congo, and Uganda",,0,1,
oa_W3149337984,Market participation and its effect on employment and food access within households of smallholder women farmers in Rwanda,missing_url,1,0,
oa_W2118722616,"""Women's Participation in Peace Negotiations: Discourse in the Democratic Republic of the Congo""",missing_url,1,0,
oa_W3138429806,Method Matters: Underreporting of Intimate Partner Violence in Nigeria and Rwanda,,0,1,
oa_W2147383904,SPOUSES’ SOCIOECONOMIC CHARACTERISTICS AND FERTILITY DIFFERENCES IN SUB-SAHARAN AFRICA: DOES SPOUSE’S EDUCATION MATTER?,,0,0,
oa_W4246575609,Constraints Facing Women’s Career Advancement in the Hospitality Industry in Rwanda: Case of Selected Hotels in Kigali,,0,1,
oa_W2170353571,Informality and Development,,0,1,
oa_W2892402642,World Development Report 2019: The Changing Nature of Work,,0,1,
oa_W2234326002,Barriers Faced By Women-Owned Businesses: Perspectives of Women from East African Community,missing_url,1,0,
oa_W2322304324,"Malaria, HIV and pregnancy",,0,0,
oa_W4301772042,The Demographic Dividend: A New Perspective on the Economic Consequences of Population Change,,0,1,
oa_W331601941,"Gender, Politics and Democratisation in Cameroon",,0,1,
oa_W1868371044,Addressing gender imbalances in <scp><i>Animal Conservation</i></scp>,,0,1,
oa_W318516814,"Genocide, Nuptiality, and Fertility in Rwanda and Bosnia-Herzegovina",,0,1,
oa_W4214543342,Doing Business 2013,,0,0,
oa_W2096517822,Missing in Action: Teacher and Health Worker Absence in Developing Countries,,0,1,
oa_W4251213931,Multidimensional poverty analysis and its determinants in Rwanda,,0,0,
oa_W2979742147,Factors Influencing Women’s Ability to Enter the Information Technology Workforce,,0,0,
oa_W4407227022,"Analysing the implementation of refugee laws and policies in relation to women and girls: A case of Kampala, Uganda",,0,1,
oa_W2892531868,Female autonomy and women's welfare: An introduction,,0,1,
oa_W4391564464,Coffee and the agrarian questions in Laos and Rwanda: Taking a bottom-up perspective,,0,1,
oa_W2967209664,Women's global health leadership in LMICs,,0,1,
oa_W4396596796,A multilevel analysis of the determinants of HIV testing among men in Sub-Saharan Africa: Evidence from Demographic and Health Surveys across 10 African countries,,0,1,
oa_W2158151570,Decent Work and the Informal Economy,,0,1,
oa_W4320288076,Global health 2035: a world converging within a generation,,0,1,
oa_W2506735758,Employment in the Informal Sector,,0,0,
oa_W4242747603,The Gender Gap in Agricultural Productivity in Sub-Saharan Africa,,0,1,
oa_W2164505476,Why Do Management Practices Differ across Firms and Countries?,,0,1,
oa_W2003620703,Gender Equality and Economic Growth: Is there a Win‐Win?,,0,1,
oa_W177746553,Aggregate Effects of Gender Gaps in the Labor Market: A Quantitative Estimate,,0,1,
oa_W4251560328,Handbook of Research Methods in Health Social Sciences,,0,1,
oa_W3025688232,"Participatory Exploration of the Heterogeneity in Household Socioeconomic, Food, and Nutrition Security Status for the Identification of Nutrition-Sensitive Interventions in the Rwandan Highlands",,0,1,
oa_W2169559345,Transmission and prevention of HIV and sexually transmitted infections in war settings,,0,0,
oa_W2886870817,What do we know about community-based health worker programs? A systematic review of existing reviews on community health workers,,0,1,
oa_W4367322880,Women Entrepreneurs in East Africa: How Women Integration can boost Entrepreneurial Solutions to Sustainable Development. A Review of Literature,,0,0,
oa_W1948339546,Long-term mental health of war-refugees: a systematic literature review,,0,1,
oa_W3096753723,Impact of COVID-19 on the food supply chain,,0,1,
oa_W2980401580,Farmers’ perspectives on male out-migration and the future of agrarian livelihoods in Rwanda,,0,1,
oa_W4361185649,Infection and Social Dislocation: Wellbeing Impacts of COVID-19 on Children and Young People - Perspectives of Rwandan Leaders,,0,1,
oa_W3128365082,Falling living standards during the COVID-19 crisis: Quantitative evidence from nine developing countries,,0,1,
oa_W2416067382,Investing in Family Planning: Key to Achieving the Sustainable Development Goals,,0,1,
oa_W2903985354,A Global Anesthesia Training Framework,,0,0,
oa_W2600660804,Mental Health Service Provision in Low- and Middle-Income Countries,,0,1,
oa_W171539392,Excess Fertility and Family Planning in Rwanda : Understanding the shift to a high contraceptive prevalence country,missing_url,1,0,
oa_W2062238503,Five years to go and counting: progress towards the Millennium Development Goals,,0,1,
oa_W2147793576,"Self-Reported Experiences of Discrimination and Health: Scientific Advances, Ongoing Controversies, and Emerging Issues",,0,1,
oa_W4309958123,"Remote work, social inequality and the redistribution of mobility",,0,1,
oa_W1919681536,Gender and sexuality: emerging perspectives from the heterosexual epidemic in South Africa and implications for HIV risk and prevention,,0,1,
oa_W2911227954,Data Statements for Natural Language Processing: Toward Mitigating System Bias and Enabling Better Science,,0,1,
oa_W2063593445,High-growth entrepreneurial firms in Africa: a quantile regression approach,,0,1,
oa_W2143775898,Decentralization of Governance and Development,,0,1,
oa_W383484421,"International Perspectives on Women and Work in Hotels, Catering and Tourism",,0,1,
oa_W2412862172,The Economic Consequences of Hospital Admissions,,0,1,
